indicator,port,last_seen,threat,threat_type,confidence,tlp,type
myada2x.com,443,2023-01-18 16:08:48.421000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
179.43.187.233,3306,2023-01-18 16:09:04.626000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.142.109,443,2023-01-18 16:08:54.207000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
62.233.51.95,443,2023-01-18 16:09:08.628000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.225.74.144,443,2023-01-18 16:09:08.631000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.176.13,443,2023-01-18 16:09:10.686000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
172-86-123-86.static.hvvc.us,443,2023-01-18 16:09:06.700000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
95.214.53.95,443,2023-01-18 16:09:10.063000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
165.232.186.202,443,2023-01-18 16:09:04.231000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.154.168,443,2023-01-18 16:08:52.341000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.156.145,443,2023-01-18 16:09:09.669000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
memtromeds.com,443,2023-01-18 16:09:04.083000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
172.105.5.70,443,2023-01-18 16:09:03.467000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.142.29,443,2023-01-18 16:09:10.229000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
162.33.178.106,443,2023-01-18 16:08:48.423000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
172.86.123.86,443,2023-01-18 16:09:03.922000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
78.46.190.160,443,2023-01-18 16:09:10.227000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.154.212,443,2023-01-18 16:09:09.929000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
95.179.136.89,443,2023-01-18 16:09:10.061000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.223.93.141,443,2023-01-18 16:09:08.270000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.175.114,443,2023-01-18 16:09:04.198000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
193.56.146.6,443,2023-01-18 16:09:04.605000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.155.144,443,2023-01-18 16:09:06.738000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
116.202.18.132,443,2023-01-18 16:09:09.930000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
v1477680.hosted-by-vdsina.ru,443,2023-01-18 16:08:55.207000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
157.254.194.23,443,2023-01-18 16:09:04.664000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
88.210.12.126,443,2023-01-18 16:09:06.698000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
static.132.18.202.116.clients.your-server.de,443,2023-01-18 16:09:08.293000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
179.43.175.136,443,2023-01-18 16:09:08.632000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
192.30.243.151,443,2023-01-18 16:09:06.739000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
moosdies.top,443,2023-01-18 16:09:04.195000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
179.43.156.132,443,2023-01-18 16:08:42.700000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
217.12.201.112,443,2023-01-18 16:09:03.467000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
47.57.236.111,443,2023-01-18 16:09:08.629000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
31.41.244.157,443,2023-01-18 16:09:10.098000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.209.160.18,443,2023-01-18 16:09:09.689000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
152.89.196.174,443,2023-01-18 16:09:08.294000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.81.68.104,443,2023-01-18 16:08:42.723000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
172-105-5-70.ip.linodeusercontent.com,443,2023-01-18 16:09:03.469000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
62.204.41.57,443,2023-01-18 16:09:09.932000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
89.22.230.175,443,2023-01-18 16:09:10.684000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.187.92,443,2023-01-18 16:09:04.607000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
141.98.82.254,443,2023-01-18 16:09:11.040000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
79.137.206.68,443,2023-01-18 16:09:08.595000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.225.74.200,443,2023-01-18 16:08:47.047000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.156.151,443,2023-01-18 16:08:46.339000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.209.160.43,443,2023-01-18 16:09:08.594000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
193.42.33.73,443,2023-01-18 16:09:04.196000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
